fecha,titulo,autor(a),categoria,enlace
2023-03-09,Intentan extinguir incendio forestal en Maricao,CyberNews,La-Calle,https://www.noticel.com/la-calle/policiacas/20230309/intentan-extinguir-incendio-forestal-en-maricao/
2023-03-09,Hipódromo Camarero celebra el mes de la mujer con el “Jockette Challenge” ,Antonio Gómez/ Especial para NotiCel,Deportes,https://www.noticel.com/deportes/top-stories/20230309/hipodromo-camarero-celebra-el-mes-de-la-mujer-con-el-jockette-challenge/
2023-03-09,"El líder de los republicanos en el Senado, Mitch McConnell, es hospitalizado por una caída",EFE,Estados-Unidos,https://www.noticel.com/estados-unidos/mundo/20230309/el-lider-de-los-republicanos-en-el-senado-mitch-mcconnell-es-hospitalizado-por-una-caida/
2023-03-09,Discusión entre vecinos termina a balazos en Fajardo,NotiCel,Policiacas,https://www.noticel.com/policiacas/la-calle/20230309/discusion-entre-vecinos-termina-a-balazos-en-fajardo/
2023-03-09,Hurto en joyería Barlovento terminó siendo un lío entre sus socios ,NotiCel,La-Calle,https://www.noticel.com/la-calle/policiacas/20230309/hurto-en-joyeria-barlovento-termino-siendo-un-lio-entre-sus-socios/
2023-03-09,La novena boricua cae vía blanqueada ante los Bravos de Atlanta ,NotiCel,Deportes,https://www.noticel.com/deportes/beisbol/20230309/la-novena-boricua-cae-via-blanqueada-ante-los-bravos-de-atlanta/
2023-03-09,Cartel entrega a 5 sospechosos del secuestro de estadounidenses en México,EFE,Mundo,https://www.noticel.com/mundo/20230309/cartel-entrega-a-5-sospechosos-del-secuestro-de-estadounidenses-en-mexico/
2023-03-09,Legisladores no ven posible aprobación para aumentar años de cárcel a mujeres que aborten,Naysha Zamira Padró,Ahora,https://www.noticel.com/ahora/legislatura/20230309/legisladores-no-ven-posible-aprobacion-para-aumentar-anos-de-carcel-a-mujeres-que-aborten/
2023-03-09,Una lesión le impedirá a Carlos Rodón iniciar la temporada con los Yankees,EFE,Mlb,https://www.noticel.com/mlb/beisbol/deportes/20230309/una-lesion-le-impedira-a-carlos-rodon-iniciar-la-temporada-con-los-yankees/
2023-03-09,Arrestan a uno de los más buscados ,NotiCel,La-Calle,https://www.noticel.com/la-calle/policiacas/20230309/arrestan-a-uno-de-los-mas-buscados-6/
