fecha,titulo,autor,categoria,enlace
2023-03-02,La derecha cierra filas en torno a Trump en su “Woodstock” republicano ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/la-derecha-cierra-filas-en-torno-a-trump-en-su-woodstock-republicano/
2023-03-02,Lo adoptaron pensando que era un perro y se llevaron una tremenda sorpresa cuando empezó a crecer,La Nación Argentina / GDA,Mundo,http://www.primerahora.com/noticias/mundo/notas/lo-adoptaron-pensando-que-era-un-perro-y-se-llevaron-una-tremenda-sorpresa-cuando-empezo-a-crecer/
2023-03-02,El papa habla sobre la Iglesia y la tragedia de los abusos ,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/el-papa-habla-sobre-la-iglesia-y-la-tragedia-de-los-abusos/
2023-03-02,Estados Unidos le llama la atención a presidente salvadoreño sobre derechos humanos ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/estados-unidos-le-llama-la-atencion-a-presidente-salvadoreno-sobre-derechos-humanos/
2023-03-02,Trump podría ser demandado por asalto a Capitolio,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/trump-podria-ser-demandado-por-asalto-a-capitolio/
2023-03-02,Nevadas y lluvias alivian un poco la sequía en California,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/nevadas-y-lluvias-alivian-un-poco-la-sequia-en-california/
2023-03-02,Denuncian el uso político de los inmigrantes por DeSantis en Florida ,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/denuncian-el-uso-politico-de-los-inmigrantes-por-desantis-en-florida/
2023-03-02,“Coyotes” usan drones para vigilar a la Patrulla Fronteriza de Estados Unidos ,Primera Hora,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/coyotes-usan-drones-para-vigilar-a-la-patrulla-fronteriza-de-estados-unidos/
2023-03-02,Hombre mata a su hijo de tres años en la Florida,Agencia EFE,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/hombre-mata-a-su-hijo-de-tres-anos-en-la-florida/
2023-03-02,Entérate de los países que ha prohibido el uso de TikTok,The Associated Press,Ciencia-Tecnologia,http://www.primerahora.com/noticias/ciencia-tecnologia/notas/enterate-de-los-paises-que-ha-prohibido-el-uso-de-tiktok/
2023-03-02,Hallan una nueva especie de geco en una isla rocosa del noreste de Australia ,Agencia EFE,Ciencia-Tecnologia,http://www.primerahora.com/noticias/ciencia-tecnologia/notas/hallan-una-nueva-especie-de-geco-en-una-isla-rocosa-del-noreste-de-australia/
2023-03-02,Inauguran edificio modular para estudiantes de escuela elemental de Yauco,Laura M. Quintero,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/inauguran-edificio-modular-para-estudiantes-de-escuela-elemental-de-yauco/
2023-03-02,Tesla busca reducir costos de nuevos autos a la mitad,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/tesla-busca-reducir-costos-de-nuevos-autos-a-la-mitad/
2023-03-01,"Estados Unidos, México y países centroamericanos han deportado en 2023 a 7,024 hondureños ",Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/estados-unidos-mexico-y-paises-centroamericanos-han-deportado-en-2023-a-7024-hondurenos/
2023-03-01,Alquileres a corto plazo agravan disponibilidad de viviendas en Culebra,Nydia Bauzá,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/alquileres-a-corto-plazo-agravan-disponibilidad-de-viviendas-en-culebra/
2023-03-01,Gobernador minimiza planteamientos de nulidad del contrato de Genera P.R.,Laura M. Quintero,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/gobernador-minimiza-planteamientos-de-nulidad-del-contrato-de-genera-pr/
2023-03-01,"Rumbo a Fortaleza otra vez, proyecto que prohíbe discrimen laboral por tatuajes",Nydia Bauzá,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/rumbo-a-fortaleza-otra-vez-proyecto-que-prohibe-discrimen-laboral-por-tatuajes/
2023-03-01,Pierluisi cifra su esperanza para estabilizar la tarifa de luz en los “ahorros” de operación,Laura M. Quintero,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/pierluisi-cifra-su-esperanza-para-estabilizar-la-tarifa-de-luz-en-los-ahorros-de-operacion/
2023-03-01,FOTOS: Impactante choque de trenes en Grecia deja a más de 40 muertos,No autor,Mundo,http://www.primerahora.com/noticias/mundo/fotogalerias/fotos-impactante-choque-de-trenes-en-grecia-deja-a-mas-de-40-muertos/
2023-03-01,Los incendios en la Amazonía brasileña crecieron un 15.9% en febrero,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/los-incendios-en-la-amazonia-brasilena-crecieron-un-159-en-febrero/
2023-03-01,Rusia dice que apoyará a India en su intento por evitar la fragmentación global,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/rusia-dice-que-apoyara-a-india-en-su-intento-por-evitar-la-fragmentacion-global/
2023-03-01,Pueblo italiano vende casas por 1 euro,El Tiempo / GDA,Mundo,http://www.primerahora.com/noticias/mundo/notas/pueblo-italiano-vende-casas-por-1-euro/
2023-03-01,Miles de personas habrían sido enterradas sin identificar en Turquía,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/miles-de-personas-habrian-sido-enterradas-sin-identificar-en-turquia/
2023-03-01,Activistas interrumpen la primera sesión del comité de Estados Unidos sobre China ,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/activistas-interrumpen-la-primera-sesion-del-comite-de-estados-unidos-sobre-china/
2023-03-01,Abren convocatoria para el internado ejecutivo Luis A. Ferré,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/abren-convocatoria-para-el-internado-ejecutivo-luis-a-ferre/
2023-03-01,Ángel Pérez no acepta la oferta de la Fiscalía federal para declararse culpable,Frances Rosario,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/angel-perez-no-acepta-la-oferta-de-la-fiscalia-federal-para-declararse-culpable/
2023-03-01,Esta noche ocurre la gran conjunción de Venus y Júpiter ,Primera Hora,Ciencia-Tecnologia,http://www.primerahora.com/noticias/ciencia-tecnologia/notas/esta-noche-ocurre-la-gran-conjuncion-de-venus-y-jupiter/
2023-03-01,Autoridad de Carreteras anuncia cierre temporal de puente en Ciales,Primera Hora,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/autoridad-de-carreteras-anuncia-cierre-temporal-de-puente-en-ciales/
2023-03-01,Jenniffer González anuncia que revalidará como vicepresidenta del PNP,Frances Rosario,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/jenniffer-gonzalez-anuncia-que-revalidara-como-vicepresidenta-del-pnp/
2023-03-01,Echan el ojo a novatos malamañosos en el gobierno,Sandra Torres Guzmán,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/echan-el-ojo-a-novatos-malamanosos-en-el-gobierno/
2023-03-01,Choque de trenes en Grecia deja 29 muertos y 85 heridos,The Associated Press,Mundo,http://www.primerahora.com/noticias/mundo/notas/choque-de-trenes-en-grecia-deja-29-muertos-y-85-heridos/
2023-03-01,"Libros 787 consigue más de $28,000 para expandir de su negocio ",Primera Hora,Consumo,http://www.primerahora.com/noticias/consumo/notas/libros-787-consigue-mas-de-28000-para-expandir-de-su-negocio/
2023-03-01,Ranger American celebra feria de empleos en el Aeropuerto Luis Muñoz Marín ,Primera Hora,Consumo,http://www.primerahora.com/noticias/consumo/notas/ranger-american-celebra-feria-de-empleos-en-el-aeropuerto-luis-munoz-marin/
2023-03-01,Citado al Tribunal federal Ángel Pérez como preámbulo al juicio en su contra,Frances Rosario,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/citado-al-tribunal-federal-angel-perez-como-preambulo-al-juicio-en-su-contra/
2023-03-01,Jueza federal deniega mociones a Ángel Pérez como preámbulo al juicio en su contra,Frances Rosario,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/jueza-federal-deniega-mociones-a-angel-perez-como-preambulo-al-juicio-en-su-contra/
