fecha,titulo,enlace,autor
2023-02-21,Atropellan a Rafael Araneda de “Enamorándonos”,http://www.primerahora.com/entretenimiento/farandula/notas/atropellan-a-rafael-araneda-de-enamorandonos/,Primera Hora
2023-02-27,Isabel Pantoja regresa tan fabulosa como siempre,http://www.primerahora.com/entretenimiento/musica/notas/isabel-pantoja-regresa-tan-fabulosa-como-siempre/,Francisco Javier Díaz
2023-02-27,Ana Gabriel anuncia su retiro de los escenarios ,http://www.primerahora.com/entretenimiento/musica/notas/ana-gabriel-anuncia-su-retiro-de-los-escenarios/,El Universal / GDA
2023-02-27,Recuerdan a exMenudo Ray Reyes con emotiva interpretación del tema “Si tú no estás”,http://www.primerahora.com/entretenimiento/musica/notas/recuerdan-a-exmenudo-ray-reyes-con-emotiva-interpretacion-del-tema-si-tu-no-estas/,Primera Hora
2023-02-26,Tercer Cielo se despide con emotivo concierto en el Choliseo,http://www.primerahora.com/entretenimiento/musica/notas/tercer-cielo-se-despide-con-emotivo-concierto-en-el-choliseo/,Primera Hora
2023-02-26,Sebastián Yatra alcanza la cima de rascacielos en Miami,http://www.primerahora.com/entretenimiento/musica/notas/sebastian-yatra-alcanza-la-cima-de-rascacielos-en-miami/,Primera Hora
2023-02-26,Reguetoneros boricuas sacuden Bogotá con su “perreo violento”,http://www.primerahora.com/entretenimiento/musica/notas/reguetoners-boricuas-sacuden-bogota-con-su-perreo-violento/,Agencia EFE
2023-02-25,¿Cuánto ‘factura’ Shakira por las tiraeras a Piqué?,http://www.primerahora.com/entretenimiento/musica/notas/cuanto-factura-shakira-por-las-tiraeras-a-pique/,El Tiempo / GDA
2023-02-25,Las indirectas en la canción “TQG” de Karol G y Shakira,http://www.primerahora.com/entretenimiento/musica/notas/las-indirectas-en-la-cancion-tqg-de-karol-g-y-shakira/,El Universal / GDA
2023-02-25,La reacción de Nicky Jam a la canción de Karol G y Shakira,http://www.primerahora.com/entretenimiento/musica/notas/la-reaccion-de-nicky-jam-a-la-cancion-de-karol-g-y-shakira/,Primera Hora
2023-02-24,El glosario de Karol G en sus canciones,http://www.primerahora.com/entretenimiento/musica/notas/el-glosario-de-karol-g-en-sus-canciones/,El Universal / GDA
2023-02-24,Chris Wandell narra su historia de superación en su álbum “Mi Monopolio”,http://www.primerahora.com/entretenimiento/musica/notas/chris-wandell-narra-su-historia-de-superacion-en-su-album-mi-monopolio/,Primera Hora
2023-02-24,Lyanno presenta su sencillo “Martini” junto a Jay Wheeler,http://www.primerahora.com/entretenimiento/musica/notas/lyanno-presenta-su-sencillo-martini-junto-a-jay-wheeler/,Primera Hora
2023-02-24,RKM y Ken Y la montan en Bolivia en el Pascana Carnavalera 2023,http://www.primerahora.com/entretenimiento/musica/notas/rkm-y-ken-y-la-montan-en-bolivia-en-el-pascana-carnavalera-2023/,Primera Hora
2023-02-24,Víctor Manuelle lanza video del tema “Devuélveme un te amo” dedicado a su nieta,http://www.primerahora.com/entretenimiento/musica/notas/victor-manuelle-lanza-video-del-tema-devuelveme-un-te-amo-dedicado-a-su-nieta/,Primera Hora
2023-02-24,RBD lanzará una nueva versión de su éxito “Siempre He Estado Aquí”,http://www.primerahora.com/entretenimiento/musica/notas/rbd-lanzara-una-nueva-version-de-su-exito-siempre-he-estado-aqui/,Primera Hora
2023-02-24,Karol G revela emociones profundas en su álbum “Mañana será bonito”,http://www.primerahora.com/entretenimiento/musica/notas/karol-g-revela-emociones-profundas-en-su-album-manana-sera-bonito/,Primera Hora
2023-02-24,“Verte con la nueva me dolió”: Karol G y Shakira lanzan explosiva canción,http://www.primerahora.com/entretenimiento/musica/notas/verte-con-la-nueva-me-dolio-karol-g-y-shakira-lanzan-explosiva-cancion/,Agencia EFE
2023-02-24,Tito Nieves olvida letra en pleno homenaje a Víctor Manuelle,http://www.primerahora.com/entretenimiento/musica/notas/tito-nieves-olvida-letra-en-pleno-homenaje-a-victor-manuelle/,Primera Hora
2023-02-24,Celebran a Ivy Queen y Víctor Manuelle en Premio Lo Nuestro,http://www.primerahora.com/entretenimiento/musica/notas/celebran-a-ivy-queen-y-victor-manuelle-en-premio-lo-nuestro/,Agencia EFE
2023-02-23,Premio Lo Nuestro tendrá su ceremonia esta noche con muchas nominaciones a estrellas boricuas ,http://www.primerahora.com/entretenimiento/musica/notas/premio-lo-nuestro-tendra-su-ceremonia-esta-noche-con-muchas-nominaciones-a-estrellas-boricuas/,Primera Hora
2023-02-22,Filtran fragmento de canción nueva entre Bad Bunny y Gorillaz,http://www.primerahora.com/entretenimiento/musica/notas/filtran-fragmento-de-cancion-nueva-entre-bad-bunny-y-gorillaz/,El Universal / GDA
2023-02-22,Carlos Rivera presentará concierto en Puerto Rico,http://www.primerahora.com/entretenimiento/musica/notas/carlos-rivera-presentara-concierto-en-puerto-rico/,Primera Hora
2023-02-22,Andy Montañez rendirá homenaje al “Sonero Mayor”,http://www.primerahora.com/entretenimiento/musica/notas/andy-montanez-rendira-homenaje-al-sonero-mayor/,Primera Hora
2023-02-22,Próxima edición de los Latin Grammy será en España,http://www.primerahora.com/entretenimiento/musica/notas/proxima-edicion-de-los-latin-grammy-sera-en-espana/,The Associated Press
2023-02-22,Tema de Karol G y Shakira ya tiene fecha de estreno,http://www.primerahora.com/entretenimiento/musica/notas/tema-de-karol-g-y-shakira-ya-tiene-fecha-de-estreno/,Primera Hora
2023-02-22,Orfeón San Juan Bautista pide ayuda para ir a Turquía,http://www.primerahora.com/entretenimiento/musica/notas/orfeon-san-juan-bautista-pide-ayuda-para-ir-a-turquia/,Primera Hora
2023-02-21,Braulio se reencontrará en marzo con el público boricua,http://www.primerahora.com/entretenimiento/musica/notas/braulio-se-reencontrara-en-marzo-con-el-publico-boricua/,Primera Hora
2023-02-21,Rolling Stone destaca las voces femeninas de la música urbana y son boricuas,http://www.primerahora.com/entretenimiento/musica/notas/rolling-stone-destaca-las-voces-femeninas-de-la-musica-urbana-y-son-boricuas/,Primera Hora
